시설물분류(대),시설물분류(중),시설물분류(소),공종분류(대),공종분류(중),위험발생객체분류(대),위험발생객체분류(중),위험발생위치분류(대),위험발생위치코드(중),위험발생위치분류(중),위험발생위치분류(소),작업프로세스명,물적피해,인적피해,사고원인,사고가능성,사고심각성,설계단계,시공단계
건축,건축물,교육연구시설,건축,가설공사,건설기계,항타 및 항발기,외부,204,항타 및 항발기,옆,항타 및 항발작업,전도,깔림,넘어짐_항타항발기 안전성 미검토 및 받침철판 미설치,M(2),H(4),항타항발기 안전성 검토 및 받침철판 설치,항타항발기 승강설비 구간 추락방지대 설치도면 작성
건축,건축물,교육연구시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),굴착작업,붕괴,깔림,무너짐_굴착면 기울기를 반영한 굴착계획도면 미작성,H(3),H(4),굴착면 기울기를 반영한 굴착계획도면 작성,"안전난간, 안전대 걸이시설 설치"
건축,건축물,교육연구시설,건축,건축 토공사,토사 및 암반,굴착사면,외부,217,굴착사면,하부(아래),부설 및 다짐작업,붕괴,깔림,무너짐_되메우기 도면 미작성,M(2),H(4),되메우기 도면 작성,되메우기 현장시험계획 도면에 표기하여 반영
건축,건축물,교육연구시설,건축,지정공사,부재,슬래브,외부,5,슬래브,하부(아래),확인 및 점검작업,붕괴,깔림,무너짐_기초 지반 구조안전성 미검토,M(2),H(3),기초 지반 구조안전성 검토,평판재하시험 계획 도면에 표기하여 반영
건축,건축물,교육연구시설,건축,지정공사,부재,기성말뚝,외부,50,기성말뚝,하부(아래),확인 및 점검작업,붕괴,깔림,무너짐_PHC Pile 지지력 미검토,H(3),H(4),PHC Pile 지지력 구조검토 실시,PHC Pile 재하시험 설치에대한 내용을 도면에 표기하여 반영
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,강관동바리,외부,11,강관동바리,상부(위),설치작업,붕괴,떨어짐(3미터 이상 ~ 5미터 미만),무너짐_강관동바리 구조안전성 미검토 및 조립도 미작성,H(3),H(4),강관동바리 구조안전성 검토 및 조립도 작성,강관동바리 수평변위 방지를 위한 설치 상세도면 작성
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,시스템동바리,외부,15,시스템동바리,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_시스템동바리 안전성 미검토 및 조립도 미작성,H(3),H(4),시스템동바리 안전성 검토 및 조립도 작성,시스템동바리 수평변위 방지를 위한 설치도면 작성
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,거푸집,외부,2,거푸집,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_측압거푸집 안전성 미검토,H(3),H(4),측압거푸집 안전성 검토,현장조건을 반영한 콘크리트타설계획도 작성
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설자재,데크플레이트,내부,28,데크플레이트,상부(위),확인 및 점검작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_데크플레이트 안전성 미검토 및 조립도 미작성,H(3),H(4),데크플레이트 안전성 검토 및 조립도 작성,데크플레이트 걸침길이 및 고정 상세도면 작성
건축,건축물,교육연구시설,건축,철근콘크리트공사,건설자재,철근,외부,24,철근,상부(위),설치작업,붕괴,깔림,무너짐_철근전도방지 미조치,H(3),H(3),조립철근 자립도 검토 및 앵커 및 기타 보강,철근절단 및 절곡기 안전작업 계획 반영
건축,건축물,교육연구시설,건축,철근콘크리트공사,가시설,거푸집,외부,2,거푸집,상부(위),설치작업,붕괴,깔림,무너짐_콘크리트 타설 집중 하중,H(3),H(3),콘크리트 타설 시 타설 속도 및 타설순서 준수,콘크리트 타설계획 작성시 장비의 규격 및 사양확인
건축,건축물,교육연구시설,건축,철골공사,부재,철골부재,외부,14,철골부재,상부(위),확인 및 점검작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_철골부재 구조안전성검토 미실시,H(3),H(3),철골부재 구조안전성 검토,철골 기둥 설치시 Wire Guying실시
건축,건축물,교육연구시설,건축,철골공사,부재,거더,외부,19,거더,상부(위),확인 및 점검작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_임베드플레이트 등 구조안전성 미검토,H(3),H(3),임베드플레이트 등 구조안전성 검토,임배드플레이트 설치전 비파괴검사계획 도면에 표기하여 반영
건축,건축물,교육연구시설,건축,미장공사,가시설,작업발판,내부,13,작업발판,상부(위),설치작업,붕괴,떨어짐(3미터 이상 ~ 5미터 미만),무너짐_계단실 작업발판 설치도면 미작성,M(2),M(2),계단실 작업발판 설치도면 작성,작업발판내 승강설비 및 안전난간 설치 도면 작성
건축,건축물,교육연구시설,건축,방수공사,기타,기타,내부,999,기타,바닥,확인 및 점검작업,기타,질식,기타_환기시설 설치 상세도면 미작성,H(3),H(3),환기시설 설치도면 작성,복합가스농도 측정 및 밀폐공간 기준 도면에 표기
건축,건축물,교육연구시설,건축,지붕 및 홈통공사,기타,기타,외부,238,작업대차,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),떨어짐_지붕패널 설치 순서도 미작성,M(2),H(4),지붕패널 설치 순서도 작성,지붕단부 안전시설 및 추락방지망 설치상세도 작성
건축,건축물,교육연구시설,건축,금속공사,기타,기타,외벽,999,기타,옆,설치작업,붕괴,떨어짐(분류불능),무너짐_앙카철물 설치도면 미작성,M(2),H(3),앙카철물 설치도면 작성,앙카 성능 및 용접부 비파괴검사 계획 도면에 표기하여 반영
건축,건축물,교육연구시설,건축,수장공사,건설자재,천정패널,내부,100,천정패널,고소,설치작업,붕괴,물체에 맞음,무너짐_천장틀 설치도면 미작성,H(3),H(3),천장틀 설치도면 작성,현장조건을 반영한 작업발판 설치계획도 작성
건축,건축물,교육연구시설,건축,창호 및 유리공사,부재,벽체,외벽,103,벽체,옆,설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_창호 설치 상세도면 미작성,H(3),H(3),창호 상세도면 작성,창호 개구부 안전시설 설치 도면 작성
건축,건축물,교육연구시설,건축,가설공사,가시설,작업발판,내부,13,작업발판,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),무너짐_엘리베이터 임시작업발판 설치도면 미작성,H(3),H(4),엘리베이터 임시작업발판 설치도면 작성,엘리베이터 작업발판 및 안전시설 설치도면 작성
토목,기타,부지조성,토목,철근콘크리트공사,부재,벽체,내부,103,벽체,상부(위),설치작업,전도,깔림,전도방지조치 미흡 ,M(3),H(4),철근 전도방지 도면 작성,2m 간격으로 서포트 설치
토목,기타,부지조성,토목,철근콘크리트공사,가시설,거푸집,외벽,2,거푸집,상부(위),타설작업,붕괴,깔림,구조 안전성미검토,M(3),H(4),벽체 거푸집 안전성 검토 및 설치 예시도 제시,서포트고정목의 고정상태 확인
토목,기타,부지조성,토목,도로 및 포장공사,건설기계,아스팔트피니셔,외부,130,아스팔트피니셔,상부(위),부설 및 다짐작업,없음,깔림,포장작업도 미준수,M(3),M(3),포장작업 시 시공유의사항 도면 제시,"작업자 사전안전교육 및 작업구간 숙지, 작업공간 외측 신호수 배치"
토목,기타,부지조성,토목,토공사,가시설,흙막이가시설,외부,3,흙막이가시설,상부(위),굴착작업,없음,떨어짐(5미터 이상 ~ 10미터 미만),안전난간 미설치,M(2),M(3),터파기 상단 안전난간 및 이동통로 설치 등 추락방지시설 제시,임의 해체 금지 및 수시 점검
토목,기타,부지조성,토목,철근콘크리트공사,시설물,옹벽,외부,16,옹벽,상부(위),설치작업,붕괴,떨어짐(5미터 이상 ~ 10미터 미만),설치불량,M(2),H(4),시스템비계 설치 예시도 제시,이동통로 설치 시 안전고리 체결
토목,기타,부지조성,토목,철근콘크리트공사,가시설,강관동바리,내부,11,강관동바리,상부(위),타설작업,붕괴,깔림,구조 안전성미검토,M(3),H(4),강관동바리 구조계산 및 상세도 작성,동바리 제원 및 설치도면을 확인하여 설치
토목,기타,부지조성,토목,관공사,건설기계,특수건설기계,외부,239,특수건설기계,하부(아래),설치작업,전도,깔림,중량물 인양 검토 미흡,M(2),H(4),중량물 인양에 대한 안전성 검토,크레인 작업구간 복공철판 및 전도 방지목 설치
토목,기타,부지조성,토목,철근콘크리트공사,시설물,옹벽,외부,16,옹벽,상부(위),설치작업,전도,깔림,전도방지대책 미흡,M(2),M(3),"자연석, 산석옹벽 시공시 크레인 전도방지 대책 제시",신호수 배치 및 개인보호구 착용 철저
토목,기타,부지조성,토목,토공사,토사 및 암반,지반,외부,232,지반,지하,굴착작업,붕괴,깔림,우수유입 방지대책 미흡,M(2),H(4),작업장 내 배수계획을 위한 가배수로 및 침사지 상세도 제시,침사지 비탈면 보호 천막 및 안전난간 설치
토목,기타,부지조성,토목,가설공사,기타,차량,외부,98,차량,상부(위),운반작업,없음,질병,세륜시설 미설치,M(2),M(3),비산먼지의 발생을 억제하기 위한 세륜시설 설치예시도 제시,공사차량 저속운행
토목,기타,부지조성,토목,관공사,기타,기타,외부,999,기타,상부(위),적재작업,없음,깔림,관리부실,M(2),M(3),관로보관 상세도 작성,"구름 멈춤대, 쐐기 등을 이용하여 동요나 이동 방지"
건축,건축물,근린생활시설,건축,가설공사,가시설,비계,외부,10,비계,고소,형틀 및 목공,붕괴,떨어짐(분류불능),비계 구조기준 불량,M(3),H(4),시스템 비계 구조 설계 반영,시스템 비계 설치기준 작성 및 준수
